sessionKey,serviceName,packetMethod,packetUriSender,packetResponseCode,packetResponseTime
746,ts-order-service,GET,192.168.224.1,403,6
747,ts-order-service,GET,192.168.224.1,403,6
748,ts-order-service,GET,192.168.224.1,403,6
749,ts-order-service,GET,192.168.224.1,403,6
750,ts-order-service,GET,192.168.224.1,500,11
751,ts-order-service,PUT,192.168.224.1,500,5
752,ts-order-service,POST,192.168.224.1,500,4
753,ts-order-service,DELETE,192.168.224.1,500,5
754,ts-order-service,PATCH,192.168.224.1,0,0
755,ts-order-service,HEAD,192.168.224.1,500,7
757,ts-order-service,GET,192.168.224.1,200,13
758,ts-order-service,GET,192.168.224.1,200,5
759,ts-order-service,GET,192.168.224.1,403,5
760,ts-order-service,GET,192.168.224.1,403,5
761,ts-order-service,GET,192.168.224.1,403,5
762,ts-order-service,GET,192.168.224.1,403,5
763,ts-order-service,GET,192.168.224.1,200,9
764,ts-order-service,GET,192.168.224.1,200,6
765,ts-order-service,GET,192.168.224.1,403,6
767,ts-order-service,GET,192.168.224.1,403,6
768,ts-order-service,GET,192.168.224.1,403,5
769,ts-order-service,POST,192.168.224.1,403,5
770,ts-order-service,POST,192.168.224.1,405,5
771,ts-order-service,GET,192.168.224.1,403,6
772,ts-order-service,GET,192.168.224.1,403,5
773,ts-order-service,GET,192.168.224.1,403,5
